name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
travis-kelce,27,4,15,5.533333333333333,2.0612833111653743,8.133333333333333,3.2221455929585523,69.2,36.35051581477215,11.819999999999999,5.042909213274946,23.8,10.48300211453443,0.5333333333333333,0.618241233033047,0.13333333333333333,0.3399346342395189,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.0,0.0,22.5,25.0,0
rob-gronkowski,28,5,14,4.928571428571429,2.4918233632160582,7.5,3.2237954561133595,77.42857142857143,42.731243647634095,14.621428571428572,4.940962684022007,25.785714285714285,12.289243679091145,0.5714285714285714,0.7284313590846836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,18.0,1
zach-ertz,26,4,14,5.285714285714286,2.6302789485031384,7.857142857142857,3.377597262153397,58.857142857142854,31.384384522190885,11.157142857142857,4.052638344464061,22.571428571428573,13.216409095807947,0.5714285714285714,0.6226998490772392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,33.0,1
evan-engram,22,0,15,4.266666666666667,2.2050447211388304,7.666666666666667,2.8674417556808756,48.13333333333333,28.83716737514665,10.48,4.282086718723322,19.8,9.558242516278815,0.4,0.48989794855663565,0.06666666666666667,0.24944382578492943,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.0,0.0,18.9,62.0,2
jimmy-graham,30,6,16,3.5625,2.1203994317109216,6.0,2.979093821953246,32.5,23.71971753626084,7.74375,5.4729983498535795,13.75,10.726718976462466,0.625,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,56.0,3
kyle-rudolph,27,6,16,3.5625,1.6944302139657448,5.0625,2.4101024355823553,33.25,17.693572279220497,9.125,3.8717728497420922,15.75,8.474225628339147,0.5,0.6123724356957945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,71.0,3
cameron-brate,26,3,16,3.0,1.7320508075688772,4.8125,2.2698774746668597,36.9375,25.33887514768562,11.8125,4.076590947102738,15.75,7.5291101731877985,0.375,0.5994789404140899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,169.0,3
benjamin-watson,36,9,16,3.8125,2.4036105653786763,4.9375,2.838766237293941,32.625,25.612191921036356,8.25625,7.838045734588437,14.0625,9.781799105992722,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,143.0,3
charles-clay,28,3,13,3.769230769230769,1.3674145257408596,5.6923076923076925,2.5232645333625734,42.92307692307692,27.062496156578977,10.899999999999999,4.684179593219977,20.307692307692307,11.096670431915884,0.15384615384615385,0.36080121229410994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,139.0,4
george-kittle,23,0,15,2.8666666666666667,1.6275407487644937,4.2,2.166410241236256,34.333333333333336,26.00427315312278,11.853333333333333,5.013297872215011,19.2,9.310925482106134,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,163.0,4
austin-seferian-jenkins,24,-1,13,3.8461538461538463,1.9940740610485728,5.6923076923076925,2.671346977566975,27.46153846153846,16.946138133307425,7.069230769230769,3.3894371249026936,13.23076923076923,7.627418619224947,0.23076923076923078,0.4213250442347432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,161.0,4
david-njoku,21,0,16,2.0,1.0606601717798212,3.75,1.6393596310755,24.125,21.788400010097117,10.39375,7.518765586018758,15.4375,10.988452745951088,0.25,0.4330127018922193,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0,0.0,10.5,117.0,4
antonio-gates,37,10,16,1.875,1.5360257159305635,3.25,1.920286436967152,19.75,20.354667769334874,7.98125,5.260610557482848,10.1875,7.501822695185484,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,135.0,3
